"ID","Type","Name","Documentation","Specialization"
"id-155df7f1a9ab40e5b4a197af94053c8d","BusinessActor","Party Connected to grid","A party that contracts for the right to consume or produce electricity at an Accounting Point.",""
"id-db4f15fb7b7644f6b0dabd1d2a4a0e50","BusinessActor","Reconcillation Accountable","A party that is financially accountable for the reconciled volume of energy products for a profiled Accounting Point.",""
"id-718708","BusinessFunction","(Meer)jarenplanning voor onderhoud en inspecties bepalen","Het vermogen om onderhoud en inspectie maatregelen in de tijd te plannen met afgesproken horizonnen (meer jaren, jaar, voortschrijdend kwartaal, …).",""
"id-718722","BusinessFunction","(Meerjaren)planning voor maatregelen op capaciteit en/of functionaliteit opstellen","Het vermogen om maatregelen in de tijd te plannen met afgesproken horizonnen (meer jaren, jaar, voortschrijdend kwartaal, …). Denk ondermeer aan: euro's en geld, binnen budgettere grenzen, programma's zoals gietijzer vervanging, afstemmen met service provider (Sales&OperationsPlanning (S&OP) - demand).",""
"id-718702","BusinessFunction","(Veranderde) behoefte aan capaciteit en functionaliteit inventariseren en analyseren/simuleren","Het vermogen om (veranderende) behoefte aan capaciteit en functionaliteit te inventariseren, te analyseren en te simuleren. Denk ondermeer aan: lange termijn, investeringen/Capex planning.",""
"id-718714","BusinessFunction","Aansluitingen/allocatiepunten beheren","Het vermogen om de marktgegevens over een aansluiting/allocatiepunt te beheren, inclusief de meetinrichting en de relatie naar de marktpartij. Let op dit betreffen niet de fysieke aansluiting gegevens ten behoeve van asset management (rode domein).",""
"id-ae7c5ecd255d48d293c929dc78a85fb1","BusinessFunction","Acquisition and Control ","Covering the digitial capabilities to monitor and control our assets.",""
"id-112ad2080b174455910a7a04f0949fc5","BusinessFunction","Acquisition, system, pricing, design","Functions required to acquire the right assets with the right capabilities both in long term and dynamically in short term for services",""
"id-1a87735dd90e434892a8191493cb80e1","BusinessFunction","Acting on the future energy system state","",""
"id-736423","BusinessFunction","Activa waarderen","Het vermogen om waarde van activa (waaronder netcomponenten) vast te stellen.",""
"id-76e8062e3e664385a7603714a448117d","BusinessFunction","Adequacy assessment","Estimating the adequacy of the generation to meet the demand (possibly taking into account the limits of the grid).",""
"id-1bbc009ec22248a1bc0caf60c9acf518","BusinessFunction","Aggregated Service Organisation","Hierarchically organizing an optimal distribution of individual customer contributions to provide an aggregated service (power, frequency, voltage, power quality services ...) to the system. (consider maybe rename the item)",""
"id-ac3048a544534c58869c0e88628cf81e","BusinessFunction","Aggregated/Distributed/Local automations","Covering the automations functionalities that are shared amongst all nodes .",""
"id-174501b968e74948bac30bcb998d4985","BusinessFunction","Alignment with regulation and standards","To allow a system to configure workflow and processes in compliance with national regulatory frameworks. Should be also configurable to merging of regulatory frameworks. eg. european regulatory framework",""
"id-718709","BusinessFunction","Alternatieven voor mitigatie kwaliteitsrisico analyseren en mitigerende maatregelen bepalen","Het vermogen om alternatieven op te stellen en te analyseren voor mitigatie van kwaliteit  netrisico's/oplossen van knelpunten en de mitigerende maatregelen te bepalen.",""
"id-718730","BusinessFunction","Alternatieven voor mitigatie risico op capaciteit en/of functionaliteit analyseren en mitigerende maatregelen bepalen","Het vermogen om alternatieven op te stellen en te analyseren voor mitigatie van capaciteit en/of functionaliteit netrisico's/oplossen van knelpunten en de mitigerende maatregelen te bepalen. Denk ondermeer aan: scenario's, kosten en baten, value case.",""
"id-e36bb19b34fb44049959abd7719d32a8","BusinessFunction","Analysis of network bottlenecks","",""
"id-5f67aee7e3b147e0b36568fd144ba799","BusinessFunction","Analytics","Covering the digital functionalities used to determine causes, draw conclusions and give advice (e.g. predicting fault locations).",""
"id-5bcd209da7cc44b3aecbe85d8fb3aaed","BusinessFunction","Anomaly detection system / substation configurations","",""
"id-acea5342a6194c8880df5b0c61307ab2","BusinessFunction","Artificial Intelligence","",""
"id-31d53998230f4e8dab8bb7a489b2620c","BusinessFunction","Asset Investment Planning","Covering the planning of the asset investments on strategic, tactical and operation level.",""
"id-a5db56d3bd5340ee8ca06c2d50a50cb2","BusinessFunction","Asset lifecycle management","To monitor the status and programme scheduled maintenance and replacement on deployed assets.",""
"id-afeb5c961372486394672d5452739c37","BusinessFunction","Asset management","Covering the digital functionalities required to manage your assets.",""
"id-ca12a0de4a1642c6afbe50e60563b6f7","BusinessFunction","Asset performance management","Capabilities of data capture, integration, visualization and analytics tied together for the explicit purpose of improving the reliability and availability of physical assets, including the concepts of condition monitoring, predictive forecasting and reliability-centered maintenance ( RCM ).",""
"id-6b6b48834ddc4f0b99b4caab7beb0d6b","BusinessFunction","Asset Planning","To support the process of developing, operating, maintaining, upgrading, and disposing of assets in the most cost-effective manner (including all costs, risks and performance attributes).",""
"id-fb8977d8c7ef4f589dacf286db3c3c6f","BusinessFunction","Asset Supervision ","Covering the digital functionalities used to determine asset status and replacement plans (e.g. using condition monitoring for predictive maintenance plans).",""
"id-77ad8bc55223408eb0bd49755cd0f4b5","BusinessFunction","Autonomous Function Conf.","Remote operational functional configuration of decentralized automations (potentially via aggregation of customer side assets)",""
"id-9db869dbf1b54f9dbce04ab1434cd045","BusinessFunction","Avalibility","Availablility Platform calculates  the proportion, expressed as a percentage, of the total Available Time during which assets or services are available.",""
"id-5ca152644a0a4ebbba92741d588f8c5f","BusinessFunction","Balance and frequency control","To maintain frequency stability, balances the power generation and load consumption in the grid",""
"id-2729313bd8514d41a4f787b29c18deef","BusinessFunction","Balancing Market","Trading Platform to insure system balance and frequency, as production and consumption levels must match during the operation of electric power systems.",""
"id-43a7ef7fe49f452ab5e92d02d54a6971","BusinessFunction","Balancing Mechanism","Managing the real time strategy to balance the system and cope with contingency: identification the appropriate services (demand side response / generation / aggregator / storage ...) to trigger to sustain the system for the next few hours.",""
"id-718754","BusinessFunction","Bedieningsplannen opstellen","Het vermogen om volgordelijke overzichten te maken van uit te voeren acties (bediening) op netcomponenten.",""
"id-736302","BusinessFunction","Bedrijfscontinuïteit borgen","Het vermogen om bedrijfscontinuïteitsrisico's vast te stellen en te vertalen naar maatregelen en richtlijnen en die te bewaken.
.",""
"id-736290","BusinessFunction","Bedrijfscontinuïteit en compliance borgen","Het vermogen om kaders en risico's vast te stellen, te bewaken en te besturen door o.a. compliance te bewaken en policy's in te voeren.
.",""
"id-736449","BusinessFunction","Bedrijfsgebouwen beheren","Het vermogen om bedrijfsgebouwen te beheren.",""
"id-718824","BusinessFunction","Bedrijfsgebouwen beheren en faciliteiten beschikbaar stellen","Het vermogen om bedrijfsgebouwen en faciliteiten te beheren. Let op dit betreft bedrijfsgebouwen en faciliteiten die geen onderdeel zijn van het net; technische gebouwen zijn een asset categorie (tertiaire assets) en worden in domein 3 beheerd. Het omvat tevens de fysieke werkplek. Dit omvat: kantoorgebouwen, magazijnen, opleidingscentra, ...",""
"id-736396","BusinessFunction","Bedrijfsgebouwen onderhouden","Het vermogen om bedrijfsgebouwen te onderhouden. Dit omvat ook het plannen en uitvoeren van onderhoud en het beheren van bedrijfsgebouwinstallates zoals werkbouwkundige en elektrische voorzieningen (bv. energievoorzieningen, liften, verlichting, 'uit' bordjes).
Het vermogen om gebouwen te onderhouden. Dit omvat ook het plannen en uitvoeren van onderhoud.
Het vermogen om gebouwinstallates te beheren. Dit omvat ook werkbouwkundige en elektrische voorzieningen zoals energievoorzieningen, liften, verlichting, 'uit' bordjes. ",""
"id-736477","BusinessFunction","Bedrijfsgebouwen verkrijgen, verbouwen en afstoten","Het vermogen om bedrijfsgebouwen te verkrijgen, te verbouwen en af te stoten.",""
"id-736465","BusinessFunction","Bedrijfsgebouwenstrategie en -plannen opstellen en besturen","Het vermogen om bedrijfsgebouwenstrategie en -plannen op te stellen en te besturen. Dit omvat ook het huisvestingsplan.",""
"id-736405","BusinessFunction","Bedrijfsgebouwgebruik faciliteren","Het vermogen om het gebruik van bedrijfsgebouwen te faciliteren. Dit omvat het schoonhouden, beschikbaarstellen van ruimtes (zalen, parkeren), beschikbaarstellen van voedsel en drank, borgen van veiligheid en verzorgen van kantoorgoederen afhandeling.",""
"id-736343","BusinessFunction","Bedrijfsplannen opstellen","Het vermogen om (meer)jarenplannen op te stellen om de strategie te realiseren.
.",""
"id-718818","BusinessFunction","Bedrijfsprestaties bewaken","Het vermogen om de prestaties van het bedrijf te meten, te toetsen (tegen normen) en te vergelijken (benchmark)
.",""
"id-736356","BusinessFunction","Bedrijfsrichting opstellen en besturen","Het vermogen om richting / sturing te geven aan het bedrijf door een missie, visie en een strategie te bepalen, met stakeholders in overeenkomst komen, de transformatie van de inrichting te besturen en continuïteit en compliance te bewaken.
.",""
"id-718703","BusinessFunction","Beleid en standaardisatie van energienetten opstellen en onderhouden","Het vermogen om beleid en standaarden op te stellen en te onderhouden voor het aanpassen (uitbreiden, vervangen, vernieuwen) en in stand houden van energienetten, zoals handboek techniek.",""
"id-711337","BusinessFunction","Beschikbaar krijgen metingen van energietransport en -netten","Het vermogen om metingen van energietransport en -netten beschikbaar te krijgen.",""
"id-718341","BusinessFunction","Beschikbaar maken metingen van energietransport en -netten","Het vermogen om de metingen te verwerken en te verspreiden.",""
"id-736426","BusinessFunction","Betalingen verrichten","Het vermogen om betalingen te verrichten. Dit omvat de betaling aan crediteuren.
Het vermogen om betalingen te verrichten. Dit omvat de betaling aan crediteuren. ",""
"id-ab9f1a5879c44c2f809b4360ff6bd4b6","BusinessFunction","Business Function","",""
"id-940e9ff987b94ddfb3b11c9846927d11","BusinessFunction","Business Function","Business Function
A business function represents a collection of business behavior based on a chosen set of criteria (typically required business resources and/or competencies), closely aligned to an organization, but not necessarily explicitly governed by the organization.

Just like a business process, a business function also describes internal behavior performed by a business role. However, while a business process groups behavior based on a sequence or flow of activities that is needed to realize a product or service, a business function typically groups behavior based on required business resources, skills, competencies, knowledge, etc.

There is a potential many-to-many relation between business processes and business functions. Complex processes in general involve activities that offer various functions. In this sense, a business process forms a string of business functions. In general, a business function delivers added value from a business point of view. Organizational units or applications may coincide with business functions due to their specific grouping of business activities.

A business function may be triggered by, or trigger, any other business behavior element (business event, business process, business function, or business interaction). A business function may access business objects. A business function may realize one or more business services and may be served by business, application, or technology services. A business role may be assigned to a business function. The name of a business function should clearly indicate a well-defined behavior. Examples are customer management, claims administration, member services, recycling, or payment processing",""
"id-04ad9248d02a4e8daf0df811b93259b0","BusinessFunction","Business Intelligence","",""
"id-29d29654ea3340478d0be3ea0260aaf1","BusinessFunction","Centralized Automation","Based on a real time assessment of the power system state, providing real time technical signals (toward internal or external recipient) to sustain the system within its normal operational conditions (e.g. frequency or voltage secondary or tertiary control automation).",""
"id-ce53576376394031b08427c84039cd1f","BusinessFunction","Centralized real time business event management","",""
"id-f6baa806afb74ea482f863c4575a5645","BusinessFunction","Comissioning and installation management","To support the process through with a piece of equipment, facility, or plant (which is installed, or is complete or near completion) is tested to verify if it functions according to its design objectives or specifications.",""
"id-73f5032cd7a44ccbb7b7d10f76c1002e","BusinessFunction","Common communication media","Covering the digital functionalities supporting emergency and crisis management.",""
"id-643cef5d769945b6a240abdacda8b751","BusinessFunction","Compare Configuration","Compare configurations in order to find differences.",""
"id-38892a5d69f64010ad9ac7adba330dfa","BusinessFunction","Configuration management","Container function for configuration management consist of (agrregate)
1. Make system configuration 
 1.1. Make substation configuration 
 1.2 Make IED configuration (bij. DER) 
2. Edit system configuration 
 2.1 Idem 
 2.2 Idem 
 2.3 Grid planning import  
3. Store system configuration 
 3.1 Idem
 3.3 Version Management
4. Validate
5. Compare 
",""
"id-718789","BusinessFunction","Congestiegebieden beheren","Het vermogen om gebieden met transportschaarste te beheren.",""
"id-a450e6a818f04a9fabcd48e7db6bcc78","BusinessFunction","Congestion Management","To avoid a situation where the electricity supply exceeds the grid capacity (congestion).",""
"id-0816afaba8c149e8932f590bc510c01d","BusinessFunction","Consent management","Consent management is a system, process or set of policies for allowing consumers  to determine what information they are willing to permit their various energy componanies to access.",""
"id-718768","BusinessFunction","Contactpersoon/verantwoordelijke voor locatie bepalen","Het vermogen om de contactpersoon/verantwoordelijke voor een locatie te achterhalen. Bv. via de eigenaar van een perceel.",""
"id-718765","BusinessFunction","Contractloze aansluitingen bewaken/verminderen","Het vermogen om technisch netverlies en gemiste inkomsten te verkleinen door het aantal contractloze aansluitingen (aansluitingen zonder overeenkomst) te verkleinen alsook de duur van contractloos zijn.",""
"id-718826","BusinessFunction","Crisissen beheersen","Het vermogen om crissisen te besturen en planmatig te beheersen.
.",""
"id-15c46bfc72a34116ad460ffad85004b1","BusinessFunction","Cross border capacity","Trading Platform to allocate energy throughout borders between market areas",""
"id-08bebb57447d41e795c40b15158e82ac","BusinessFunction","Customer and Market","Covering all the functionalitites related to the customer and interaction with markets and other thrid parties",""
"id-4556460bf1e84a0292e05a510209797b","BusinessFunction","Customer impact assesement","To identify customers / stakeholders  with reference to a service outage.",""
"id-31f3dfa016664ab0ab2187c157fcc140","BusinessFunction","Customer Relationship and Communications","Functions required to support customer / investor relationship management and communication.",""
"id-8617d1616537462b86fb569a9af60b97","BusinessFunction","Customer Response","Covering the digital functionalities supporting customers providing information.",""
"id-72d3783d70404d41a4d4f269cba42ad3","BusinessFunction","Cyber Security","",""
"id-718838","BusinessFunction","Data besturen","Het vermogen om data te besturen.",""
"id-736527","BusinessFunction","Data duurzaam bewaren","Het vermogen om data duurzaam te bewaren en te beheren. Deze capability omvat generieke digitale archiveringsmogelijkheden en fysieke/papieren archieven.",""
"id-736549","BusinessFunction","Data herbruikbaar maken","Het vermogen om data conform een logisch model herbruikbaar te maken (FAIR). Dit omvat ook het beschikbaarstellen van master- en/of referentiedata (bv. weerdata, kadasterdata, …).",""
"id-6acc9a438a484197b77131012a386350","BusinessFunction","Data Management","Covering the digital functionalities supporting data retrieval and management.",""
"id-27392f6949bc43c286548306891f4d23","BusinessFunction","Data Science","",""
"id-718835","BusinessFunction","Data-analysemodellen opstellen en beheren","Het vermogen om data-analysemodellen te creëren aan de hand van algoritmen, en te onderhouden. Dit betreft voorspellende en voorschrijvende data-analyses (data science). Beschrijvende data-analyses vallen onder Data herbruikbaar maken.",""
"id-736312","BusinessFunction","Datadefinites ontwikkelen en beheren","Het vermogen om data te definiëren en te beheren. Deze capability omvat het vastleggen van datamodel/metadata en het beleggen van eigenaarschap. Onderdeel hiervan is ook het opstellen van data- en kennisrichtlijnen en continu verbeteren van de datadefinities.",""
"id-736524","BusinessFunction","Datakwaliteit borgen","Het vermogen om datakwaliteit te borgen. Dit omvat ook het opstellen en bewaken van data governance richtlijnen.",""
"id-718173","BusinessFunction","De energiemarkt faciliteren","Het vermogen om met de partijen in de energiemarkt data uit te wisselen, volledig en op het juiste moment, om de marktwerking te garanderen.",""
"id-718748","BusinessFunction","Definitief herstel storingen initiëren","Het vermogen om het energienet 'in standaard operatie' te brengen in de nasleep van een storing.",""
"id-718331","BusinessFunction","Delen van marktdata faciliteren","Het vermogen om delen van marktdata te faciliteren. In BAS/MFF model worden “uitvoeren markt(systeem)processen” en “data delen” onderscheiden. De wet kent  vier soorten data delen: voor markt(systeem)processen, data delen op verzoek (toestemming), dataverzoeken van derden en open data. Deze capability vult in het data delen op verzoek (toestemming), dataverzoeken van derden en open data.",""
"id-41b1b6a0ac01458f8da0d4edcecfc999","BusinessFunction","Demand Control","",""
"id-e2f72547139649d38ea36114aca2c6f5","BusinessFunction","Demand Response Management","To encourage customers to make short-term reductions in energy demand in response to a price signal from the electricity hourly market, or a trigger initiated by the electricity grid operator. ",""
"id-736496","BusinessFunction","Digitaalproductenportfolio ontwikkelen en beheren","Het vermogen om portfolio van digitale producten te ontwikkelen en te beheren. (IT4IT - Portfolio)",""
"id-736318","BusinessFunction","Digitaalproductstrategie en -portfolio ontwikkelen en beheren","Het vermogen om digitale-technologiestrategie te onwikkelen en het portfolio van digitale producten te beheren. Het ontwikkelen van digitaal product portfolio vindt plaats als onderdeel van de veranderingen die in E.1.3. worden gemanaged. (IT4IT Strategy to Portfolio)",""
"id-736519","BusinessFunction","Digitaalproductstrategie ontwikkelen en besturen","Het vermogen om digitale-technologiestrategie te ontwikkelen en besturen. (IT4IT - Strategy)",""
"id-736314","BusinessFunction","Digitale product prestatieafspraken besturen","Het vermogen om prestatieafspraken te besturen. Dit omvat het besturen van incidenten, problems en kennis.  (IT4IT - Support)",""
"id-736482","BusinessFunction","Digitale producten beschikbaar stellen","Het vermogen om digitale producten beschikbaar te stellen aan gebruikers. Dit omvat het realiseren van autorisaties, het beschikbaarstellen van licenties en de digital product instance configuratie. (IT4IT Fulfill)",""
"id-736320","BusinessFunction","Digitale producten creëren, aanpassen en verwijderen","Het vermogen om digitale producten te creëren, aan te passen (onderhoud of functionaliteit uitbreiding doeleinden) en te verwijderen. (IT4IT - Develop)",""
"id-736308","BusinessFunction","Digitale producten exploiteren","Het vermogen om digitale  producten te exploiteren. Dit omvat het bewaken van prestatie afspraken. (IT4IT Detect to Correct)",""
"id-736292","BusinessFunction","Digitale producten leveren","Het vermogen om digitale producten op te leveren. (IT4IT - Request to Fulfill)",""
"id-718834","BusinessFunction","Digitale producten ontwikkelen en beheren","Het vermogen om digitale producten te ontwikkelen en te beheren met informatie en operationele technologieën.  Dit betreft de informatie technologie (IT) en de (centrale) operationele technologie (OT, ook wel de IT van de OT genoemd). Let op: De secundaire assets zijn niet in scope en worden bestuurd in het domein 'Ontwikkeling en instandhouding van energienetten besturen' Het omvat tevens de digitale werkplek. (IT4IT value delivery)",""
"id-736545","BusinessFunction","Digitale producten realiseren","Het vermogen om digitale producten te realiseren. (IT4IT - Requirement to Deploy)",""
"id-736322","BusinessFunction","Digitale producten testen","Het vermogen om digitale producten te testen. (IT4IT - Test)",""
"id-f437c27fd212475f9caddad52261af38","BusinessFunction","Distributed energy resource management","",""
"id-f299106902834ee2838c47642ff4d45f","BusinessFunction","Distributed outage management","To restore the network model after an outage. ",""
"id-3b2f9009d9d14872907631dc61c4fced","BusinessFunction","Dynamic Safety Assessment","",""
"id-98b4e17c0e8b4a2bbff1c8390ecc7de9","BusinessFunction","Edge device management","",""
"id-8e96912196bd4ec29405ccc14859dd42","BusinessFunction","Edge Node Control","Covering the digital functionalities that are shared amongst all nodes .",""
"id-74d431a182fc4e79bcea9fadf0b8e855","BusinessFunction","Edge to (virtual) control center communication","",""
"id-8f815f4924a04321ac58addd49990037","BusinessFunction","Edit IED configuration","Edit device specifc configuration",""
"id-9d5d9f6b946a48439591204e94a0f803","BusinessFunction","Edit system configuration","",""
"id-87b739f0fcf94b248171091aed97d620","BusinessFunction","Edit system configuration","Edit system wide configurations.",""
"id-92a1de181078456296ab5bca9e060a9c","BusinessFunction"," electrival vehicle (EV) interaction and monitoring","",""
"id-88650d863b544b4bba8b19b068e2f819","BusinessFunction","Emergency and Crisis Management","To support communications with stakeholders during a emergency or crisis",""
"id-718168","BusinessFunction","Energie transporteren","Het vermogen om energieaanbod en -afname bij elkaar te brengen, te balanceren en in continuïteit te waarborgen, zodat de klanten energie krijgen binnen de geldende eisen.",""
"id-718742","BusinessFunction","Energie-uitwisseling toewijzen aan marktpartijen","Het vermogen om de vastgestelde energie-uitwisseling toe te wijzen aan marktpartijen. Dit omvat het alloceren en reconciliëren waarna financieel settlement volgt in het financiële ondersteunende proces.",""
"id-718780","BusinessFunction","Energie-uitwisseling vaststellen","Het vermogen om energie-uitwisseling vast te stellen, inclusief berekenen van energie-uitwisseling ((standaardjaar)verbruik),  vaststellen onbemeten, berekeningen bij seriële allocatiepunten, berekening toegekende energieverlies, volume afgenomen marktdiensten (zoals balancering, opregel-, afregelaanbod). Inclusief oplevering van de energie-uitwisseling van de meetverantwoordelijke, de oplevering van derden (CPO (charge point operator)), opgaven van gemeenten tbv openbare verlichting (berekening energie-uitwisseling via belastingprofiel).",""
"id-718762","BusinessFunction","Energiediefstal bestrijden","Het vermogen om technische en administratieve energiediefstal op te sporen en te verkleinen, in de energienetten (tot en met de slimme meter) en in de processen. Samenwerken met opsporingsinstanties, zoals politie en brandweer. Bedrijfsinterne klantaansluitinggerelateerde energiediefstal opsporen en verkleinen.",""
"id-718782","BusinessFunction","Energiemarkten beheren","Het vermogen om energiemarkten te beheren opdat energiediensten kunnen worden verhandeld zoals over-the-counter-markten en energiebeurzen, markten voor de verhandeling van energie, capaciteit, balancerings- en ondersteunende diensten in alle tijdsbestekken, waaronder termijn-, day-ahead- en intraday-markten.",""
"id-711339","BusinessFunction","Energienetrichtlijnen en -patronen vaststellen","Het vermogen om wet en regelgeving, veiligheids- en milieueisen om te zetten in richtlijnen, beleid en implementatiepatronen voor de energienetten en deze toegepast te krijgen.",""
"id-711342","BusinessFunction","Energienetten in stand houden","Het vermogen om werkzaamheden te definiëren die de energienetten beschikbaar houden op basis van de toestand van het net gerelateerd aan afgesproken prestaties.",""
"id-718759","BusinessFunction","Energienetten in/uit bedrijf nemen op afstand","Het vermogen om stuuracties op netcomponenten te effectueren (schakelen op afstand) en een netdeel in of uit bedrijf te nemen, inclusief volgordeafhankelijkheid van dergelijke acties. Dit kan zowel in het kader van storingen onderhoud zijn als voor nieuwbouw.  Schakelplannen zijn hiervoor input.",""
"id-718737","BusinessFunction","Energienetten opnemen in de besturing van energietransport","Het vermogen om netcomponenten op te nemen in de besturing van het energienet, zoals zichtbaar maken in de monitoring en aanstuurbaar maken door SCADA.",""
"id-711321","BusinessFunction","Energienetten uitbreiden, vervangen en vernieuwen","Het vermogen om activiteiten te definiëren voor aanpassingen van de energienetten die de energienetten toekomstbestendig houden. Denk hierbij aan het ontwikkelen van primaire, secundaire, tertiaire en telecom netcomponenten.",""
"id-718796","BusinessFunction","Energieplanning uitwisselen","Het vermogen om de energievoorspellingen uit te wisselen (forecast, nominatie). Denk hierbij aan energievoorspellingen met programmaverantwoordelijken.",""
"id-718757","BusinessFunction","Energietransport besturen","Het vermogen om stuuracties te bepalen en naar specifieke netcomponenten te zenden, ondersteund door signaal- en/of meetgegevens en geformaliseerde logica teneinde de energie te transporteren en de balans te handhaven. Inclusief reageren op verzoek andere netbeheerder, bv. activatie balancing van TenneT; Uitvoeren direct ingrijpen bij netuitval of technische congestie (incl. melden aan relevante netbeheerder bv. TenneT).",""
"id-718704","BusinessFunction","Energietransport bewaken","Het vermogen om de energievraag-/aanbodbalans van het netwerk en knelpunten te monitoren.",""
"id-718170","BusinessFunction","Energietransport en -netten meten","Het vermogen om energietransport en -netten waar te nemen en metingen beschikbaar te maken, zodat andere capabilities metingen kunnen gebruiken.",""
"id-718732","BusinessFunction","Energietransport en -netten waarnemen en omzetten in metingen","Het vermogen om energietransport en -netten waar te nemen (net doorstroom, functie performance, net component eigenschap) en om te zetten in metingen (meetdata).",""
"id-718379","BusinessFunction","Energietransport herstellen","Het vermogen om afwijkingen op energie transport te herstellen",""
"id-711318","BusinessFunction","Energietransport verzorgen","Het vermogen om in het moment vraag en aanbod vast te stellen en op elkaar af te stemmen.",""
"id-5f042205dd3743ef87de63135f2075ad","BusinessFunction","Energy and Crisis management","Communication to customers in event of outage or other reduction in services",""
"id-718817","BusinessFunction","Enterprisearchitectuur definiëren","Het vermogen om een enterprise architectuur op te stellen die richting geeft aan de veranderingen aan organisatie, processen, systemen, data en technologie.
.",""
"id-718812","BusinessFunction","Externe en interne analyses uitvoeren","Het vermogen om te analyseren welke externe en interne ontwikkelingen van invloed zijn op missie, visie en strategie van het bedrijf.
.",""
"id-718705","BusinessFunction","Externe regelgeving in richtlijnen vertalen","Het vermogen om externe regelgeving te vertalen naar interne richtlijnen (beleid en standaarden).",""
"id-718819","BusinessFunction","Externe verantwoording afleggen","Het vermogen om verantwoording af te leggen aan niet-financiële regulatoren van netbeheerders. Het vermogen om verantwoording af te leggen aan financiële regulatoren is onderdeel van Financiën beheren.
.",""
"id-736390","BusinessFunction","Faciliteiten beschikbaar stellen","Het vermogen om faciliteiten beschikbaar te stellen",""
"id-711331","BusinessFunction","Factureren en innen","Het vermogen om facturen op te maken, te versturen en gelden te innnen c.q. betalingen te verwerken",""
"id-718771","BusinessFunction","Factuur maken en versturen","Het vermogen om een factuur met de juiste inhoud en in de juiste vorm bij de klant te bezorgen.",""
"id-6d4c8937a2c444bb9f3fa37dddb44610","BusinessFunction","Failure analysis","",""
"id-91afb6db53104f66b0a3904ad02c2cbd","BusinessFunction","Field Service, Customer Care","",""
"id-8b75948977f64fa9b12c4ebc6f086367","BusinessFunction","Field Work Management","Covering the digital functionalities used to prepare and execute work with the right resources.",""
